molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4447974,Oc1cccc(-c2c[nH]c3ncc(-c4ccoc4)cc23)c1,276.295,4.195500000000002,2.0,3.0,3.0
CHEMBL4457696,Oc1cccc(-n2cnc3ccc(-c4ccoc4)cc32)c1,276.295,3.991100000000003,1.0,4.0,3.0
CHEMBL4460393,Oc1cccc(-n2ncc3ccc(-c4ccoc4)cc32)c1,276.295,3.991100000000003,1.0,4.0,3.0
CHEMBL4587483,Oc1cccc(-c2n[nH]c3ccc(-c4ccoc4)cc23)c1,276.295,4.195500000000003,2.0,3.0,3.0
CHEMBL4513281,Oc1cccc(-c2nnc3ccc(-c4ccoc4)cn23)c1,277.283,3.361900000000002,1.0,5.0,4.806597096937582
CHEMBL4565428,N#Cc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,402.4210000000001,4.021180000000002,1.0,7.0,5.54515513999149
CHEMBL4458017,FC(F)(F)c1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,445.40800000000013,5.168300000000003,1.0,6.0,6.480172006224281
CHEMBL4545510,COc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,407.4370000000001,4.158100000000002,1.0,7.0,6.189767482004916
CHEMBL4580953,FC(F)(F)Oc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,461.40700000000015,5.048100000000003,1.0,7.0,6.38933983691012
CHEMBL4442923,Fc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,395.4010000000001,4.288600000000002,1.0,6.0,5.621602099051862
CHEMBL4588425,Clc1cccc(-n2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,411.8560000000001,4.802900000000003,1.0,6.0,6.443697499232712
CHEMBL4473774,Fc1cc(-c2ccnn2Cc2ccccc2)cc2c1nnn2-c1ccc2cn[nH]c2c1,409.4280000000001,4.347700000000002,1.0,6.0,6.6777807052660805
CHEMBL4450557,Clc1cc(-c2ccnn2Cc2ccccc2)cc2c1nnn2-c1ccc2cn[nH]c2c1,425.8830000000001,4.862000000000004,1.0,6.0,6.85078088734462
CHEMBL4443574,Clc1ccccc1Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,425.8830000000001,4.862000000000003,1.0,6.0,6.847711655616943
CHEMBL4554174,Clc1cccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,425.8830000000001,4.862000000000003,1.0,6.0,5.987162775294828
CHEMBL4528781,Clc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,425.88300000000015,4.862000000000003,1.0,6.0,7.187086643357144
CHEMBL4547622,Cc1ccccc1Cn1nccc1-c1ccc2nnn(-c3ccc4cn[nH]c4c3)c2c1,405.46500000000015,4.517020000000003,1.0,6.0,6.649751981665837
CHEMBL4453205,Cc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,405.46500000000015,4.517020000000002,1.0,6.0,7.107905397309519
CHEMBL4591024,c1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)nc1,392.4260000000001,3.603600000000001,1.0,7.0,6.570247719997592
CHEMBL4530339,c1cncc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)c1,392.4260000000001,3.603600000000002,1.0,7.0,5.432973633840939
CHEMBL4444065,c1cc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)ccn1,392.4260000000001,3.603600000000002,1.0,7.0,6.186419011431808
CHEMBL4457769,CS(=O)(=O)c1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,469.53000000000014,3.6121000000000016,1.0,8.0,5.2716462179787715
CHEMBL4471082,CC(C)c1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,433.5190000000001,5.332000000000004,1.0,6.0,6.2262135550188065
CHEMBL4576728,N#Cc1ccc(Cn2nccc2-c2ccc3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,416.44800000000015,4.080280000000002,1.0,7.0,7.6777807052660805
CHEMBL4438144,N#Cc1ccc(Cn2nccc2-c2cc(F)c3nnn(-c4ccc5cn[nH]c5c4)c3c2)cc1,434.4380000000001,4.219380000000002,1.0,7.0,7.522878745280337
